volume,vw,open,close,high,low,t,trades,vwap,pre_market,after_market,symbol
46140527.0,207.6892,207.91,208.78,209.48,204.26,1747627200000,617742,,,,AAPL
42496635.0,207.0811,207.67,206.86,208.47,205.03,1747713600000,511393,,,,AAPL
59211774.0,203.4576,205.17,202.09,207.04,200.71,1747800000000,783994,,,,AAPL
46742407.0,201.4092,200.71,201.36,202.75,199.7,1747886400000,615608,,,,AAPL
78432918.0,195.8833,193.665,195.27,197.7,193.46,1747972800000,1035410,,,,AAPL
56288475.0,199.4808,198.3,200.21,200.74,197.43,1748318400000,710445,,,,AAPL
45339678.0,200.9086,200.59,200.42,202.73,199.9,1748404800000,549615,,,,AAPL
51477938.0,200.5388,203.575,199.95,203.81,198.51,1748491200000,652509,,,,AAPL
70819942.0,199.9641,199.37,200.85,201.96,196.78,1748577600000,605924,,,,AAPL
35423294.0,201.2063,200.28,201.7,202.13,200.12,1748836800000,501431,,,,AAPL
46381567.0,202.8132,201.35,203.27,203.77,200.955,1748923200000,519820,,,,AAPL
43603985.0,203.6276,202.91,202.82,206.24,202.1,1749009600000,568214,,,,AAPL
55221235.0,201.838,203.5,200.63,204.75,200.15,1749096000000,637645,,,,AAPL
46607693.0,204.0682,203.0,203.92,205.7,202.05,1749182400000,556357,,,,AAPL
72862557.0,202.5405,204.39,201.45,206.0,200.02,1749441600000,860118,,,,AAPL
54672608.0,202.5339,200.6,202.67,204.35,200.57,1749528000000,611323,,,,AAPL
60989857.0,200.4652,203.5,198.78,204.5,198.41,1749614400000,770310,,,,AAPL
43904635.0,198.7007,199.08,199.2,199.68,197.3601,1749700800000,541843,,,,AAPL
51447349.0,197.0361,199.73,196.45,200.37,195.7,1749787200000,716210,,,,AAPL
43020691.0,197.8895,197.3,198.42,198.685,196.5636,1750046400000,568354,,,,AAPL
38856152.0,196.4948,197.2,195.64,198.39,195.21,1750132800000,522902,,,,AAPL
45394689.0,196.4448,195.94,196.58,197.57,195.07,1750219200000,520881,,,,AAPL
96813542.0,199.8096,198.235,201.0,201.7,196.855,1750392000000,680915,,,,AAPL
55814272.0,201.1824,201.625,201.5,202.3,198.96,1750651200000,618980,,,,AAPL
54064033.0,201.4391,202.59,200.3,203.44,200.2,1750737600000,666917,,,,AAPL
39525730.0,201.7923,201.45,201.56,203.67,200.6201,1750824000000,514978,,,,AAPL
50799121.0,200.6328,201.43,201.0,202.64,199.46,1750910400000,622887,,,,AAPL
73188571.0,201.4224,201.89,201.08,203.22,200.0,1750996800000,596078,,,,AAPL
26832756.0,340.6447,337.75,340.54,342.73,337.2,1688097600000,364616,,336.4,340.6,MSFT
12507092.0,338.2957,339.19,337.99,340.9,336.571,1688356800000,252534,,340.65,337.99,MSFT
18172378.0,338.6334,335.09,338.15,341.65,334.7276,1688529600000,346745,,336.67,337.81,MSFT
28195534.0,340.0806,337.3,341.27,342.99,335.5,1688616000000,453686,,338.2,341.35,MSFT
21208974.0,339.134,339.32,337.22,341.79,337.0,1688702400000,336861,,,,MSFT
32739449.0,330.9423,334.6,331.83,335.23,327.59,1688961600000,551490,,,,MSFT
26698218.0,330.6934,331.06,332.47,332.86,327.0,1689048000000,428341,,,,MSFT
